"DATE","TIME PERIOD","Loans vis-a-vis domestic Non-MFIs reported by MFIs excl. ESCB, Stocks (BSI.Q.FR.N.A.A20.A.1.U6.2000.Z01.E)"
"1997-09-30","1997Q3","983533.00"
"1997-12-31","1997Q4","991759.00"
"1998-03-31","1998Q1","985382.00"
"1998-06-30","1998Q2","998570.00"
"1998-09-30","1998Q3","1008386.00"
"1998-12-31","1998Q4","1008064.00"
"1999-03-31","1999Q1","1020838.00"
"1999-06-30","1999Q2","1047042.00"
"1999-09-30","1999Q3","1050576.00"
"1999-12-31","1999Q4","1065397.00"
"2000-03-31","2000Q1","1087613.00"
"2000-06-30","2000Q2","1128227.00"
"2000-09-30","2000Q3","1146216.00"
"2000-12-31","2000Q4","1166125.00"
"2001-03-31","2001Q1","1188607.00"
"2001-06-30","2001Q2","1211338.00"
"2001-09-30","2001Q3","1207764.00"
"2001-12-31","2001Q4","1221421.00"
"2002-03-31","2002Q1","1250495.00"
"2002-06-30","2002Q2","1259915.00"
"2002-09-30","2002Q3","1256981.00"
"2002-12-31","2002Q4","1257258.00"
"2003-03-31","2003Q1","1282665.00"
"2003-06-30","2003Q2","1286837.00"
"2003-09-30","2003Q3","1285990.00"
"2003-12-31","2003Q4","1317931.00"
"2004-03-31","2004Q1","1334508.00"
"2004-06-30","2004Q2","1367712.00"
"2004-09-30","2004Q3","1374918.00"
"2004-12-31","2004Q4","1403291.00"
"2005-03-31","2005Q1","1416770.00"
"2005-06-30","2005Q2","1457124.00"
"2005-09-30","2005Q3","1479754.00"
"2005-12-31","2005Q4","1527176.00"
"2006-03-31","2006Q1","1582700.00"
"2006-06-30","2006Q2","1615219.00"
"2006-09-30","2006Q3","1650735.00"
"2006-12-31","2006Q4","1683110.00"
"2007-03-31","2007Q1","1736683.00"
"2007-06-30","2007Q2","1800003.00"
"2007-09-30","2007Q3","1866463.00"
"2007-12-31","2007Q4","1900697.00"
"2008-03-31","2008Q1","1972119.00"
"2008-06-30","2008Q2","2003131.00"
"2008-09-30","2008Q3","2029644.00"
"2008-12-31","2008Q4","2013388.00"
"2009-03-31","2009Q1","2010793.00"
"2009-06-30","2009Q2","2005903.00"
"2009-09-30","2009Q3","2004414.00"
"2009-12-31","2009Q4","2023444.00"
"2010-03-31","2010Q1","2067627.00"
"2010-06-30","2010Q2","2093250.00"
"2010-09-30","2010Q3","2103912.00"
"2010-12-31","2010Q4","2145193.00"
"2011-03-31","2011Q1","2184870.00"
"2011-06-30","2011Q2","2212757.00"
"2011-09-30","2011Q3","2232964.00"
"2011-12-31","2011Q4","2211229.00"
"2012-03-31","2012Q1","2227528.00"
"2012-06-30","2012Q2","2237972.00"
"2012-09-30","2012Q3","2246837.00"
"2012-12-31","2012Q4","2263504.00"
"2013-03-31","2013Q1","2279973.00"
"2013-06-30","2013Q2","2284812.00"
"2013-09-30","2013Q3","2289197.00"
"2013-12-31","2013Q4","2280381.00"
"2014-03-31","2014Q1","2300769.00"
"2014-06-30","2014Q2","2273468.00"
"2014-09-30","2014Q3","2283216.00"
"2014-12-31","2014Q4","2292882.00"
"2015-03-31","2015Q1","2316821.00"
"2015-06-30","2015Q2","2348034.00"
"2015-09-30","2015Q3","2349071.00"
"2015-12-31","2015Q4","2346590.00"
"2016-03-31","2016Q1","2364907.00"
"2016-06-30","2016Q2","2391459.00"
"2016-09-30","2016Q3","2409648.00"
"2016-12-31","2016Q4","2431024.00"
"2017-03-31","2017Q1","2488142.00"
"2017-06-30","2017Q2","2494773.00"
"2017-09-30","2017Q3","2516931.00"
"2017-12-31","2017Q4","2529555.00"
"2018-03-31","2018Q1","2583884.00"
"2018-06-30","2018Q2","2613002.00"
"2018-09-30","2018Q3","2646014.00"
"2018-12-31","2018Q4","2679027.00"
"2019-03-31","2019Q1","2721714.00"
"2019-06-30","2019Q2","2746079.00"
"2019-09-30","2019Q3","2796004.00"
"2019-12-31","2019Q4","2810808.00"
"2020-03-31","2020Q1","2917079.00"
"2020-06-30","2020Q2","2968622.00"
"2020-09-30","2020Q3","3015843.00"
"2020-12-31","2020Q4","3033752.00"
"2021-03-31","2021Q1","3068748.00"
"2021-06-30","2021Q2","3085822.00"
"2021-09-30","2021Q3","3106960.00"
"2021-12-31","2021Q4","3140225.00"
"2022-03-31","2022Q1","3197203.00"
"2022-06-30","2022Q2","3254831.00"
"2022-09-30","2022Q3","3309364.00"
"2022-12-31","2022Q4","3310119.00"
"2023-03-31","2023Q1","3308321.00"
"2023-06-30","2023Q2","3268464.00"
"2023-09-30","2023Q3","3271338.00"
"2023-12-31","2023Q4","3297691.00"
"2024-03-31","2024Q1","3269045.00"
"2024-06-30","2024Q2","3299422.00"
"2024-09-30","2024Q3","3300549.00"
"2024-12-31","2024Q4","3323703.00"
"2025-03-31","2025Q1","3334590.00"
"2025-06-30","2025Q2","3354280.00"
"2025-09-30","2025Q3","3337681.00"
